"","gravidae","outcome","mediator","mediator_label","age_group","n","ACME_CI"
"88","single","haz_quarter","OPG",NA,">9-12 months",51,"-0.0286 (-0.2516, 0.1645)"
"89","single","haz_quarter","placentalmal","Placental malaria","Birth",146,"0.0496 (-0.0572, 0.1833)"
"90","single","haz_quarter","placentalmal","Placental malaria","1 day-3 months",142,"0.0053 (-0.1608, 0.1891)"
"91","single","haz_quarter","placentalmal","Placental malaria",">3-6 months",134,"0.0337 (-0.1567, 0.2472)"
"92","single","haz_quarter","placentalmal","Placental malaria",">6-9 months",127,"-0.0161 (-0.2016, 0.1614)"
"93","single","haz_quarter","placentalmal","Placental malaria",">9-12 months",121,"-0.0253 (-0.1949, 0.135)"
"94","single","haz_quarter","preterm","Pre-term birth",">6-9 months",127,"0.0432 (-0.1254, 0.2791)"
"95","single","haz_quarter","SCF",NA,"Birth",51,"-0.0232 (-0.2527, 0.1625)"
"96","single","haz_quarter","SCF",NA,"1 day-3 months",50,"-0.0231 (-0.3091, 0.2062)"
"97","single","haz_quarter","SCF",NA,">3-6 months",51,"0.0187 (-0.2071, 0.2727)"
"98","single","haz_quarter","SCF",NA,">6-9 months",51,"-0.0462 (-0.2529, 0.0934)"
"99","single","haz_quarter","SCF",NA,">9-12 months",51,"-0.0467 (-0.2584, 0.0846)"
"100","single","haz_quarter","TNFRSF9",NA,"Birth",51,"-0.2066 (-0.549, 0.0634)"
"101","single","haz_quarter","TNFRSF9",NA,"1 day-3 months",50,"0.0628 (-0.3658, 0.5203)"
"102","single","haz_quarter","TNFRSF9",NA,">3-6 months",51,"0.2526 (-0.0972, 0.7093)"
"103","single","haz_quarter","TNFRSF9",NA,">6-9 months",51,"0.3368 (0.0333, 0.7337)"
"104","single","haz_quarter","TNFRSF9",NA,">9-12 months",51,"0.359 (0.0508, 0.7902)"
"105","single","haz_quarter","TWEAK",NA,"Birth",51,"0.0324 (-0.1134, 0.2216)"
"106","single","haz_quarter","TWEAK",NA,"1 day-3 months",50,"0.0228 (-0.1149, 0.2103)"
"107","single","haz_quarter","TWEAK",NA,">3-6 months",51,"0.0078 (-0.1204, 0.1584)"
"108","single","haz_quarter","TWEAK",NA,">6-9 months",51,"-0.0052 (-0.1221, 0.1049)"
"109","single","haz_quarter","TWEAK",NA,">9-12 months",51,"-0.0147 (-0.1683, 0.0983)"
"110","single","whz_quarter","ADA",NA,"Birth",51,"0.0169 (-0.227, 0.2777)"
"111","single","whz_quarter","ADA",NA,"1 day-3 months",50,"0.0882 (-0.1222, 0.4224)"
"112","single","whz_quarter","ADA",NA,">3-6 months",51,"0.1399 (-0.0319, 0.4271)"
"113","single","whz_quarter","ADA",NA,">6-9 months",51,"0.138 (-0.0209, 0.4008)"
"114","single","whz_quarter","ADA",NA,">9-12 months",51,"0.1292 (-0.0392, 0.4142)"
"115","single","whz_quarter","anemia_28binary","Anemia","Birth",132,"-0.0445 (-0.1662, 0.0327)"
"116","single","whz_quarter","anemia_28binary","Anemia","1 day-3 months",131,"-0.0793 (-0.2263, 0.0161)"
"117","single","whz_quarter","anemia_28binary","Anemia",">3-6 months",128,"-0.0779 (-0.2181, 0.0123)"
"118","single","whz_quarter","anemia_28binary","Anemia",">6-9 months",122,"-0.0985 (-0.272, 0.0058)"
"119","single","whz_quarter","anemia_28binary","Anemia",">9-12 months",116,"-0.0675 (-0.2026, 0.0205)"
"120","single","whz_quarter","birthlength","Birth length (cm)","Birth",139,"0.1581 (-0.0029, 0.3797)"
"121","single","whz_quarter","birthlength","Birth length (cm)","1 day-3 months",136,"0.0655 (-0.014, 0.1972)"
"122","single","whz_quarter","birthlength","Birth length (cm)",">3-6 months",133,"-0.0263 (-0.1595, 0.0811)"
"123","single","whz_quarter","birthlength","Birth length (cm)",">6-9 months",126,"-0.0052 (-0.0967, 0.0859)"
"124","single","whz_quarter","birthlength","Birth length (cm)",">9-12 months",121,"-0.0029 (-0.0814, 0.0782)"
"125","single","whz_quarter","birthweight",NA,"Birth",139,"-0.0408 (-0.31, 0.2571)"
"126","single","whz_quarter","birthweight",NA,"1 day-3 months",137,"-0.0076 (-0.1029, 0.0798)"
"127","single","whz_quarter","birthweight",NA,">3-6 months",134,"0.0199 (-0.0797, 0.1413)"
"128","single","whz_quarter","birthweight",NA,">6-9 months",127,"-0.0045 (-0.0877, 0.0765)"
"129","single","whz_quarter","birthweight",NA,">9-12 months",121,"0.0047 (-0.0914, 0.1091)"
"130","single","whz_quarter","birthweight_kg","Birth weight (kg)","Birth",139,"-0.0403 (-0.3127, 0.2685)"
