,Mediator,Outcome,Gravidity,Age group,N,Interaction,Aim1 effect,Total effect,Total effect 95% CI,Average mediated effect,Average mediated effect 95% CI,ACME p after BH adjustment,Average direct effect,Average direct effect 95% CI
43,Anemia at gestational week 28,Weight-for-age Z score,All,>3-6 months,575,1,0.0437,-0.0301,"[-0.2117, 0.1545]",0.0038,"[-0.0111, 0.0223]",NA,-0.0339,"[-0.2185, 0.1517]"
44,Anemia at gestational week 28,Weight-for-age Z score,All,>3-6 months,575,0,-0.0403,-0.0381,"[-0.2067, 0.1387]",0.0039,"[-0.0109, 0.0236]",NA,-0.0421,"[-0.2114, 0.1351]"
45,Anemia at gestational week 28,Weight-for-age Z score,Multi,>3-6 months,448,1,0.0339,-0.0011,"[-0.2051, 0.201]",-0.0013,"[-0.0316, 0.0296]",NA,0.0002,"[-0.1963, 0.2]"
46,Anemia at gestational week 28,Weight-for-age Z score,Multi,>3-6 months,448,0,-0.0065,-0.0097,"[-0.2022, 0.1922]",-0.0011,"[-0.0335, 0.0277]",NA,-0.0086,"[-0.2054, 0.1889]"
47,Anemia at gestational week 28,Weight-for-age Z score,Single,>3-6 months,127,1,0.1365,-0.1089,"[-0.4938, 0.289]",-0.041,"[-0.1526, 0.0287]",NA,-0.0679,"[-0.4774, 0.3317]"
48,Anemia at gestational week 28,Weight-for-age Z score,Single,>3-6 months,127,0,-0.0796,-0.1219,"[-0.5107, 0.2911]",-0.0384,"[-0.1516, 0.0285]",NA,-0.0835,"[-0.4822, 0.3351]"
49,Anemia at gestational week 28,Weight-for-age Z score,All,>6-9 months,560,1,0.0603,0.02,"[-0.1687, 0.2139]",0.0055,"[-0.0121, 0.0277]",NA,0.0145,"[-0.1785, 0.2057]"
50,Anemia at gestational week 28,Weight-for-age Z score,All,>6-9 months,560,0,0.0081,0.0124,"[-0.1641, 0.1984]",0.0062,"[-0.0112, 0.0299]",NA,0.0062,"[-0.173, 0.1951]"
51,Anemia at gestational week 28,Weight-for-age Z score,Multi,>6-9 months,438,1,0.0551,0.0319,"[-0.1725, 0.2359]",-0.0013,"[-0.0336, 0.0333]",NA,0.0331,"[-0.1655, 0.2362]"
52,Anemia at gestational week 28,Weight-for-age Z score,Multi,>6-9 months,438,0,0.0265,0.0234,"[-0.1739, 0.2309]",-0.0009,"[-0.0366, 0.031]",NA,0.0243,"[-0.1733, 0.2293]"
